Metal,Site,Total energy (Ry),Total energy (kJ),Adsorption energy(kJ)
Pd,FCC,-6713.88456,-1.46E-17,7.62E-20
Pd,HCP,-6713.656589,-1.46E-17,7.67E-20
Pd,TOP,-6713.847564,-1.46E-17,7.63E-20
Pd,BRIDGE,-6713.365655,-1.46E-17,7.73E-20
PdAg23,FCC,-6863.687287,-1.50E-17,1.34E-20
PdAg23,HCP,-6862.418748,-1.50E-17,1.62E-20
PdAg23,TOP,-6862.562826,-1.50E-17,1.59E-20
PdAg23,BRIDGE,-6862.433185,-1.50E-17,1.61E-20
Pd70Au20Ag10,FCC,-8293.76599,-1.81E-17,6.27E-19
Pd70Au20Ag10,HCP,-8579.312305,-1.87E-17,4.69E-21
Pd70Au20Ag10,TOP,-8579.143402,-1.87E-17,5.06E-21
Pd70Au20Ag10,BRIDGE,-8546.188763,-1.86E-17,7.69E-20
Pd70Au20Cu10,FCC,-8294.499433,-1.81E-17,6.26E-19
Pd70Au20Cu10,HCP,-8294.969117,-1.81E-17,1.20E-21
Pd70Au20Cu10,TOP,-8294.609776,-1.81E-17,1.98E-21
Pd70Au20Cu10,BRIDGE,-8294.761625,-1.81E-17,1.65E-21
Pd70Au20Zr10,FCC,-6021.843703,-1.31E-17,4.45E-19
Pd70Au20Zr10,HCP,-6020.533069,-1.31E-17,4.47E-19
Pd70Au20Zr10,TOP,-6020.699329,-1.31E-17,4.47E-19
Pd70Au20Zr10,BRIDGE,-6020.394432,-1.31E-17,4.48E-19
Pd70Cu20Ag10,FCC,-6223.827224,-1.36E-17,2.14E-19
Pd70Cu20Ag10,HCP,-6223.953038,-1.36E-17,2.14E-19
Pd70Cu20Ag10,TOP,-6286.876103,-1.37E-17,7.69E-20
Pd70Cu20Ag10,BRIDGE,-6286.623716,-1.37E-17,7.75E-20
Pd70Cu20Zr10,FCC,-6225.405182,-1.36E-17,7.79E-22
Pd70Cu20Zr10,HCP,-6224.674067,-1.36E-17,2.37E-21
Pd70Cu20Zr10,TOP,-6224.079791,-1.36E-17,3.67E-21
Pd70Cu20Zr10,BRIDGE,-6224.799651,-1.36E-17,2.10E-21
Pd70Zr20Ag10,FCC,-6272.747017,-1.37E-17,9.34E-19
Pd70Zr20Ag10,HCP,-6273.479847,-1.37E-17,9.32E-19
Pd70Zr20Ag10,TOP,-6699.026516,-1.46E-17,4.76E-21
Pd70Zr20Ag10,BRIDGE,-6698.881428,-1.46E-17,5.08E-21
Pd80Cu20,FCC,-6271.696837,-1.37E-17,4.48E-21
Pd80Cu20,HCP,-6271.004919,-1.37E-17,5.99E-21
Pd80Cu20,TOP,-6271.867178,-1.37E-17,4.11E-21
Pd80Cu20,BRIDGE,-6271.974705,-1.37E-17,3.87E-21
PdAu10,FCC,-7639.142649,-1.67E-17,4.03E-21
PdAu10,HCP,-7639.060778,-1.67E-17,4.21E-21
PdAu10,TOP,-7639.27371,-1.67E-17,3.74E-21
PdAu10,BRIDGE,-7639.072036,-1.67E-17,4.18E-21
PdAu20,FCC,-6698.830328,-1.46E-17,4.00E-21
PdAu20,HCP,-8532.784595,-1.86E-17,4.00E-21
PdAu20,TOP,-6272.255138,-1.37E-17,4.93E-21
PdAu20,BRIDGE,-8438.780934,-1.84E-17,2.06E-21
PdZr10,FCC,-6699.838193,-1.46E-17,2.35E-21
PdZr10,HCP,-6698.882116,-1.46E-17,4.43E-21
PdZr10,TOP,-6700.57317,-1.46E-17,7.43E-22
PdZr10,BRIDGE,-6650.72635,-1.45E-17,1.09E-19
PdZr20,FCC,-6652.542355,-1.45E-17,8.24E-22
PdZr20,HCP,-6651.797002,-1.45E-17,2.45E-21
PdZr20,TOP,-6650.811891,-1.45E-17,4.60E-21
PdZr20,BRIDGE,-6558.625807,-1.43E-17,2.06E-19
Pd60Cu40,FCC,-5763.066399,-1.26E-17,7.75E-20
Pd60Cu40,HCP,-5763.066399,-1.26E-17,7.75E-20
Pd60Cu40,TOP,-5703.153828,-1.24E-17,2.08E-19
Pd60Cu40,BRIDGE,-5763.291699,-1.26E-17,7.70E-20
