Metal,Site,Total energy (Ry),Total energy (kJ),Adsorption energy(kJ)
Pd,FCC,-6669.392,-1.45384E-17,1.58259E-20
Pd,HCP,-6669.316,-1.45383E-17,1.59915E-20
Pd,TOP,-6669.316,-1.45383E-17,1.59915E-20
Pd,BRIDGE,-6669.888,-1.45395E-17,1.47447E-20
PdAg23,FCC,-6795.54631,-1.48134E-17,4.57706E-21
PdAg23,HCP,-6795.37032,-1.4813E-17,4.96069E-21
PdAg23,TOP,-6795.54631,-1.48134E-17,4.57706E-21
PdAg23,BRIDGE,-6795.54631,-1.48134E-17,4.57706E-21
Pd70Au20Ag10,FCC,-8505.06569,-1.854E-17,9.16537E-21
Pd70Au20Ag10,HCP,-8507.107654,-1.85444E-17,4.71414E-21
Pd70Au20Ag10,TOP,-8507.107654,-1.85444E-17,4.71414E-21
Pd70Au20Ag10,BRIDGE,-8507.107654,-1.85444E-17,4.71414E-21
Pd70Au20Cu10,FCC,-8216.143691,-1.79101E-17,1.56534E-20
Pd70Au20Cu10,HCP,-8216.272466,-1.79104E-17,1.53727E-20
Pd70Au20Cu10,TOP,-8216.272466,-1.79104E-17,1.53727E-20
Pd70Au20Cu10,BRIDGE,-8216.176642,-1.79102E-17,1.55816E-20
Pd70Au20Zr10,FCC,-8411.945166,-1.8337E-17,2.03765E-21
Pd70Au20Zr10,HCP,-8411.945166,-1.8337E-17,2.03765E-21
Pd70Au20Zr10,TOP,-8411.187664,-1.83353E-17,3.68891E-21
Pd70Au20Zr10,BRIDGE,-8411.557724,-1.83361E-17,2.88223E-21
Pd70Cu20Ag10,FCC,-6245.814886,-1.36151E-17,9.07914E-21
Pd70Cu20Ag10,HCP,-6245.814886,-1.36151E-17,9.07914E-21
Pd70Cu20Ag10,TOP,-6245.187664,-1.36137E-17,1.04464E-20
Pd70Cu20Ag10,BRIDGE,-6245.966811,-1.36154E-17,8.74796E-21
Pd70Cu20Zr10,FCC,-6150.859664,-1.34081E-17,5.90697E-21
Pd70Cu20Zr10,HCP,-6150.795252,-1.34079E-17,6.04738E-21
Pd70Cu20Zr10,TOP,-6151.412562,-1.34093E-17,4.70173E-21
Pd70Cu20Zr10,BRIDGE,-6151.72706,-1.341E-17,4.01616E-21
Pd70Zr20Ag10,FCC,-6623.785904,-1.4439E-17,1.14058E-20
Pd70Zr20Ag10,HCP,-6623.478878,-1.44383E-17,1.2075E-20
Pd70Zr20Ag10,TOP,-6623.72706,-1.44389E-17,1.1534E-20
Pd70Zr20Ag10,BRIDGE,-6623.128496,-1.44376E-17,1.28388E-20
Pd80Cu20,FCC,-6200.399915,-1.35161E-17,2.526E-21
Pd80Cu20,HCP,-6200.67691,-1.35167E-17,1.92219E-21
Pd80Cu20,TOP,-6200.478878,-1.35163E-17,2.35387E-21
Pd80Cu20,BRIDGE,-6200.813839,-1.3517E-17,1.6237E-21
PdAu10,FCC,-7566.980749,-1.6495E-17,3.96137E-21
PdAu10,HCP,-7563.832808,-1.64882E-17,1.08235E-20
PdAu10,TOP,-7566.699544,-1.64944E-17,4.57436E-21
PdAu10,BRIDGE,-7566.980749,-1.6495E-17,3.96137E-21
PdAu20,FCC,-8459.069041,-1.84397E-17,3.95856E-21
PdAu20,HCP,-8455.891708,-1.84328E-17,1.08847E-20
PdAu20,TOP,-8458.785227,-1.84391E-17,4.57724E-21
PdAu20,BRIDGE,-8459.069041,-1.84397E-17,3.95856E-21
PdZr10,FCC,-6625.862343,-1.44435E-17,6.23144E-21
PdZr10,HCP,-6623.540161,-1.44385E-17,1.12935E-20
PdZr10,TOP,-6626.553929,-1.4445E-17,4.72387E-21
PdZr10,BRIDGE,-6626.922593,-1.44458E-17,3.92023E-21
PdZr20,FCC,-6577.754111,-1.43387E-17,6.48163E-21
PdZr20,HCP,-6575.409403,-1.43336E-17,1.15928E-20
PdZr20,TOP,-6578.518328,-1.43403E-17,4.81574E-21
PdZr20,BRIDGE,-6578.884286,-1.43411E-17,4.018E-21
Pd60Cu40,FCC,-5728.226399,-1.24868E-17,-3.92508E-21
Pd60Cu40,HCP,-5728.266399,-1.24869E-17,-4.01227E-21
Pd60Cu40,TOP,-5728.253828,-1.24869E-17,-3.98487E-21
Pd60Cu40,BRIDGE,-5728.291699,-1.24869E-17,-4.06742E-21
