Metal,Site,Total energy (Ry),Total energy (kJ),Adsorption energy(kJ)
Pd,FCC,-6713.758786,-1.46E-17,9.03E-20
Pd,HCP,-6713.453275,-1.46E-17,9.10E-20
Pd,TOP,-6713.878527,-1.46E-17,9.01E-20
Pd,BRIDGE,-6713.245724,-1.46E-17,9.15E-20
PdAg23,FCC,-6863.687287,-1.50E-17,2.73E-20
PdAg23,HCP,-6862.618748,-1.50E-17,2.96E-20
PdAg23,TOP,-6875.562826,-1.50E-17,1.37E-21
PdAg23,BRIDGE,-6875.833185,-1.50E-17,7.84E-22
Pd70Au20Ag10,FCC,-8291.945166,-1.81E-17,6.45E-19
Pd70Au20Ag10,HCP,-8575.06569,-1.87E-17,2.78E-20
Pd70Au20Ag10,TOP,-8587.107654,-1.87E-17,1.55E-21
Pd70Au20Ag10,BRIDGE,-8546.188763,-1.86E-17,4.83E-20
Pd70Au20Cu10,FCC,-8301.187664,-1.81E-17,6.25E-19
Pd70Au20Cu10,HCP,-8301.187664,-1.81E-17,4.03E-19
Pd70Au20Cu10,TOP,-8479.814886,-1.85E-17,3.88E-19
Pd70Au20Cu10,BRIDGE,-8479.814886,-1.85E-17,3.88E-19
Pd70Au20Zr10,FCC,-6316.143691,-1.38E-17,1.83E-19
Pd70Au20Zr10,HCP,-6317.272466,-1.38E-17,1.86E-19
Pd70Au20Zr10,TOP,-8490.966811,-1.85E-17,4.92E-19
Pd70Au20Zr10,BRIDGE,-6220.795252,-1.36E-17,2.47E-20
Pd70Cu20Zr10,FCC,-6231.72706,-1.36E-17,8.49E-22
Pd70Cu20Zr10,HCP,-6231.72706,-1.36E-17,8.49E-22
Pd70Cu20Zr10,BRIDGE,-6694.785904,-1.46E-17,1.01E-20
Pd70Cu20Ag10,FCC,-6220.859664,-1.36E-17,2.35E-21
Pd70Cu20Ag10,HCP,-6231.412562,-1.36E-17,2.12E-21
Pd70Cu20Ag10,TOP,-6286.876103,-1.37E-17,9.08E-20
Pd70Cu20Ag10,BRIDGE,-6286.478878,-1.46E-17,2.85E-20
Pd70Zr20Ag10,FCC,-6279.813839,-1.37E-17,9.32E-20
Pd70Zr20Ag10,HCP,-6270.399915,-1.37E-17,9.53E-20
Pd70Zr20Ag10,TOP,-6270.399915,-1.37E-17,9.53E-20
Pd70Zr20Ag10,BRIDGE,-6270.399915,-1.37E-17,9.53E-20
Pd80Cu20,FCC,-7646.980749,-1.67E-17,2.98E-20
Pd80Cu20,HCP,-7633.832808,-1.66E-17,2.95E-20
Pd80Cu20,TOP,-6266.67691,-1.37E-17,2.93E-20
Pd80Cu20,BRIDGE,-7646.980749,-1.67E-17,2.98E-20
PdAu10,FCC,-8538.785227,-1.86E-17,1.94E-21
PdAu10,HCP,-8539.069041,-1.86E-17,1.94E-21
PdAu10,TOP,-8301.557724,-1.81E-17,1.43E-21
PdAu10,BRIDGE,-8525.891708,-1.86E-17,1.92E-21
PdAu20,FCC,-6706.553929,-1.46E-17,7.91E-21
PdAu20,HCP,-8539.069041,-1.86E-17,7.91E-21
PdAu20,TOP,-6693.540161,-1.46E-17,7.91E-21
PdAu20,BRIDGE,-6695.862343,-1.46E-17,7.95E-21
PdZr10,FCC,-6645.409403,-1.45E-17,1.35E-20
PdZr10,HCP,-6706.922593,-1.46E-17,7.53E-20
PdZr10,TOP,-6658.518328,-1.45E-17,1.06E-20
PdZr10,BRIDGE,-6647.754111,-1.45E-17,1.30E-20
PdZr20,FCC,-6617.010463,-1.44E-17,9.21E-20
PdZr20,HCP,-6658.884286,-1.45E-17,8.51E-20
PdZr20,TOP,-6617.396766,-1.44E-17,9.13E-20
PdZr20,BRIDGE,-6617.580975,-1.44E-17,9.09E-20
Pd60Cu40,FCC,-5763.066399,-1.26E-17,9.16E-20
Pd60Cu40,HCP,-5763.066399,-1.26E-17,9.14E-20
Pd60Cu40,TOP,-5703.153828,-1.24E-17,2.22E-20
Pd60Cu40,BRIDGE,-5763.291699,-1.26E-17,9.56E-20
