Metal,Site,Total energy (Ry),Total energy (kJ),Adsorption energy(kJ)
Pd,FCC,-6714.231,-1.46362E-17,-1.7221E-21
Pd,HCP,-6714.042,-1.46358E-17,-1.3101E-21
Pd,TOP,-6713.985,-1.46356E-17,-1.18585E-21
Pd,BRIDGE,-6713.542,-1.46347E-17,-2.20167E-22
PdAg23,FCC,-6713.82684,-1.46E-17,-8.41E-22
PdAg23,HCP,-6713.567772,-1.46E-17,-2.76E-22
PdAg23,TOP,-6713.37032,-1.46E-17,1.54E-22
PdAg23,BRIDGE,-6713.479168,-1.46E-17,-8.32E-23
Pd70Au20Ag10,FCC,-8546.165898,-1.86E-17,-2.33E-22
Pd70Au20Ag10,HCP,-8546.147482,-1.86E-17,-1.92E-22
Pd70Au20Ag10,TOP,-8546.163481,-1.86E-17,-2.27E-22
Pd70Au20Ag10,BRIDGE,-8546.188763,-1.86E-17,-2.82E-22
Pd70Au20Cu10,FCC,-8259.814573,-1.80E-17,6.52E-22
Pd70Au20Cu10,HCP,-8260.757495,-1.80E-17,-1.40E-21
Pd70Au20Cu10,TOP,-8260.173956,-1.80E-17,-1.32E-22
Pd70Au20Cu10,BRIDGE,-8260.03938,-1.80E-17,1.62E-22
Pd70Au20Zr10,FCC,-8449.078934,-1.84E-17,1.29E-21
Pd70Au20Zr10,HCP,-8449.010635,-1.84E-17,1.43E-21
Pd70Au20Zr10,TOP,-8449.03938,-1.84E-17,1.37E-21
Pd70Au20Zr10,BRIDGE,-8449.697736,-1.84E-17,-6.28E-23
Pd70Cu20Ag10,FCC,-6286.476684,-1.37E-17,6.37E-22
Pd70Cu20Ag10,HCP,-6286.425452,-1.37E-17,7.49E-22
Pd70Cu20Ag10,TOP,-6286.876103,-1.37E-17,-2.34E-22
Pd70Cu20Ag10,BRIDGE,-6286.82952,-1.37E-17,-1.32E-22
Pd70Cu20Zr10,FCC,-6191.256898,-1.35E-17,-1.96E-21
Pd70Cu20Zr10,HCP,-6191.401768,-1.35E-17,-2.27E-21
Pd70Cu20Zr10,TOP,-6191.267078,-1.35E-17,-1.98E-21
Pd70Cu20Zr10,BRIDGE,-6191.199297,-1.35E-17,-1.83E-21
Pd70Zr20Ag10,FCC,-6665.262323,-1.45E-17,1.19E-21
Pd70Zr20Ag10,HCP,-6665.193131,-1.45E-17,1.34E-21
Pd70Zr20Ag10,TOP,-6665.746213,-1.45E-17,1.33E-22
Pd70Zr20Ag10,BRIDGE,-6665.821311,-1.45E-17,-3.07E-23
Pd80Cu20,FCC,-6238.470374,-1.36E-17,-2.67E-22
Pd80Cu20,HCP,-6238.086079,-1.36E-17,5.70E-22
Pd80Cu20,TOP,-6238.286777,-1.36E-17,1.33E-22
Pd80Cu20,BRIDGE,-6239.447865,-1.36E-17,-2.40E-21
PdAu10,FCC,-7606.059287,-1.65802E-17,-1.02952E-21
PdAu10,HCP,-7606.010967,-1.65801E-17,-9.24193E-22
PdAu10,TOP,-7605.616027,-1.65793E-17,-6.32759E-23
PdAu10,BRIDGE,-7605.674822,-1.65794E-17,-1.91442E-22
PdAu20,FCC,-8497.841242,-1.85242E-17,-3.64565E-22
PdAu20,HCP,-8497.984011,-1.85245E-17,-6.75784E-22
PdAu20,TOP,-8497.600646,-1.85237E-17,1.59901E-22
PdAu20,BRIDGE,-8497.500646,-1.85235E-17,3.77889E-22
PdZr10,FCC,-6666.039967,-1.45E-17,-1.16E-21
PdZr10,HCP,-6666.130585,-1.45E-17,-1.35E-21
PdZr10,TOP,-6666.926798,-1.45E-17,-3.09E-21
PdZr10,BRIDGE,-6665.59912,-1.45E-17,-1.94E-22
PdZr20,FCC,-6618.010463,-1.44264E-17,-1.07675E-21
PdZr20,HCP,-6618.079149,-1.44266E-17,-1.22648E-21
PdZr20,TOP,-6618.396766,-1.44273E-17,-1.91884E-21
PdZr20,BRIDGE,-6618.580975,-1.44277E-17,-2.32039E-21
Pd60Cu40,FCC,-5763.066399,-1.26E-17,3.23E-22
Pd60Cu40,HCP,-5763.366399,-1.26E-17,-3.30E-22
Pd60Cu40,TOP,-5763.253828,-1.26E-17,-8.51E-23
Pd60Cu40,BRIDGE,-5764.091699,-1.26E-17,-1.91E-21
