Metal,Site,Total energy (Ry),Total energy (kJ),Adsorption energy(kJ)
Pd,FCC,-6720.231,-1.46492E-17,-9.60016E-21
Pd,HCP,-6714.542,-1.46368E-17,2.80114E-21
Pd,TOP,-6720.385,-1.46496E-17,-9.93586E-21
Pd,BRIDGE,-6717.542,-1.46434E-17,-3.73848E-21
PdAg23,FCC,-6845.12684,-1.49215E-17,-1.81057E-20
PdAg23,HCP,-6845.067772,-1.49214E-17,-1.79769E-20
PdAg23,TOP,-6845.37032,-1.4922E-17,-1.86364E-20
PdAg23,BRIDGE,-6845.479168,-1.49223E-17,-1.88737E-20
Pd70Au20Ag10,FCC,-8545.165898,-1.86274E-17,7.14853E-21
Pd70Au20Ag10,HCP,-8547.147482,-1.86317E-17,2.82893E-21
Pd70Au20Ag10,TOP,-8552.163481,-1.86426E-17,-8.1053E-21
Pd70Au20Ag10,BRIDGE,-8552.188763,-1.86427E-17,-8.16042E-21
Pd70Au20Cu10,FCC,-8263.814573,-1.80141E-17,-2.8665E-21
Pd70Au20Cu10,HCP,-8259.757495,-1.80052E-17,5.97741E-21
Pd70Au20Cu10,TOP,-8266.03938,-1.80189E-17,-7.7163E-21
Pd70Au20Cu10,BRIDGE,-8261.173956,-1.80083E-17,2.8897E-21
Pd70Au20Zr10,FCC,-8452.078934,-1.84245E-17,-5.23395E-23
Pd70Au20Zr10,HCP,-8452.010635,-1.84243E-17,9.65421E-23
Pd70Au20Zr10,TOP,-8449.03938,-1.84178E-17,6.5735E-21
Pd70Au20Zr10,BRIDGE,-8455.697736,-1.84323E-17,-7.94086E-21
Pd70Cu20Ag10,FCC,-6288.476684,-1.37081E-17,1.47836E-21
Pd70Cu20Ag10,HCP,-6288.425452,-1.3708E-17,1.59004E-21
Pd70Cu20Ag10,TOP,-6285.876103,-1.37024E-17,7.1473E-21
Pd70Cu20Ag10,BRIDGE,-6289.82952,-1.3711E-17,-1.47065E-21
Pd70Cu20Zr10,FCC,-6194.956898,-1.35042E-17,-4.82287E-21
Pd70Cu20Zr10,HCP,-6194.901768,-1.35041E-17,-4.70269E-21
Pd70Cu20Zr10,TOP,-6193.267078,-1.35005E-17,-1.13928E-21
Pd70Cu20Zr10,BRIDGE,-6191.399297,-1.34965E-17,2.93225E-21
Pd70Zr20Ag10,FCC,-6666.262323,-1.45316E-17,4.20909E-21
Pd70Zr20Ag10,HCP,-6666.193131,-1.45314E-17,4.35992E-21
Pd70Zr20Ag10,TOP,-6667.746213,-1.45348E-17,9.74403E-22
Pd70Zr20Ag10,BRIDGE,-6670.821311,-1.45415E-17,-5.72892E-21
Pd80Cu20,FCC,-6239.170374,-1.36006E-17,3.40785E-21
Pd80Cu20,HCP,-6243.086079,-1.36091E-17,-5.12789E-21
Pd80Cu20,TOP,-6238.286777,-1.35987E-17,5.33398E-21
Pd80Cu20,BRIDGE,-6244.447865,-1.36121E-17,-8.0964E-21
PdAu10,FCC,-7610.259287,-1.65894E-17,-4.98381E-21
PdAu10,HCP,-7607.310967,-1.6583E-17,1.44315E-21
PdAu10,TOP,-7607.516027,-1.65834E-17,9.96142E-22
PdAu10,BRIDGE,-7610.674822,-1.65903E-17,-5.88963E-21
PdAu20,FCC,-8499.341242,-1.85275E-17,1.5668E-21
PdAu20,HCP,-8502.384011,-1.85341E-17,-5.06605E-21
PdAu20,TOP,-8496.600646,-1.85215E-17,7.54095E-21
PdAu20,BRIDGE,-8504.600646,-1.85389E-17,-9.89803E-21
PdZr10,FCC,-6667.039967,-1.45333E-17,1.86597E-21
PdZr10,HCP,-6672.130585,-1.45444E-17,-9.23092E-21
PdZr10,TOP,-6671.426798,-1.45429E-17,-7.69676E-21
PdZr10,BRIDGE,-6665.59912,-1.45302E-17,5.00684E-21
PdZr20,FCC,-6618.010463,-1.44264E-17,4.12443E-21
PdZr20,HCP,-6619.079149,-1.44287E-17,1.79483E-21
PdZr20,TOP,-6622.396766,-1.4436E-17,-5.43715E-21
PdZr20,BRIDGE,-6620.580975,-1.4432E-17,-1.47896E-21
Pd60Cu40,FCC,-5764.066399,-1.25649E-17,3.3448E-21
Pd60Cu40,HCP,-5767.066399,-1.25715E-17,-3.19482E-21
Pd60Cu40,TOP,-5767.153828,-1.25717E-17,-3.3854E-21
Pd60Cu40,BRIDGE,-5770.291699,-1.25785E-17,-1.02256E-20
