Metal,Site,Total energy (Ry),Total energy (kJ),Adsorption energy(kJ),
Pd,FCC,-6758.758786,-1.47E-17,2.63E-21,-2.63E-21
Pd,HCP,-6758.453275,-1.47E-17,1.96E-21,-1.96E-21
Pd,TOP,-6758.878527,-1.47E-17,2.89E-21,-2.89E-21
Pd,BRIDGE,-6758.245724,-1.47E-17,1.51E-21,-1.51E-21
PdAg23,FCC,-6879.687287,-1.50E-17,2.49E-21,-2.49E-21
PdAg23,HCP,-6879.618748,-1.50E-17,2.34E-21,-2.34E-21
PdAg23,TOP,-6879.833185,-1.50E-17,2.81E-21,-2.81E-21
PdAg23,BRIDGE,-6879.562826,-1.50E-17,2.22E-21,-2.22E-21
Pd70Au20Ag10,FCC,-8595.945166,-1.87E-17,1.26E-20,-1.26E-20
Pd70Au20Ag10,HCP,-8595.06569,-1.87E-17,1.07E-20,-1.07E-20
Pd70Au20Ag10,TOP,-8595.107654,-1.87E-17,1.08E-20,-1.08E-20
Pd70Au20Ag10,BRIDGE,-8596.188763,-1.87E-17,1.31E-20,-1.31E-20
Pd70Au20Cu10,FCC,-8321.187664,-1.81E-17,3.70E-21,-3.70E-21
Pd70Au20Cu10,HCP,-8321.187664,-1.81E-17,3.70E-21,-3.70E-21
Pd70Au20Cu10,TOP,-8321.814886,-1.81E-17,3.83E-21,-3.83E-21
Pd70Au20Cu10,BRIDGE,-8321.814886,-1.81E-17,3.83E-21,-3.83E-21
Pd70Au20Zr10,FCC,-8493.143691,-1.85E-17,-1.39E-21,1.39E-21
Pd70Au20Zr10,HCP,-8493.272466,-1.85E-17,-1.11E-21,1.11E-21
Pd70Au20Zr10,TOP,-8493.966811,-1.85E-17,-4.07E-21,4.07E-21
Pd70Au20Zr10,BRIDGE,-8493.795252,-1.85E-17,-3.34E-22,3.34E-22
Pd70Cu20Ag10,FCC,-6331.72706,-1.38E-17,1.85E-21,-1.85E-21
Pd70Cu20Ag10,HCP,-6331.72706,-1.38E-17,1.85E-21,-1.85E-21
Pd70Cu20Ag10,TOP,-6336.876103,-1.38E-17,1.31E-20,-1.31E-20
Pd70Cu20Ag10,BRIDGE,-6334.785904,-1.38E-17,8.51E-21,-8.51E-21
Pd70Cu20Zr10,FCC,-6236.859664,-1.36E-17,5.21E-21,-5.21E-21
Pd70Cu20Zr10,HCP,-6231.412562,-1.36E-17,-6.66E-21,6.66E-21
Pd70Cu20Zr10,TOP,-6234.478878,-1.36E-17,2.06E-23,-2.06E-23
Pd70Cu20Zr10,BRIDGE,-6244.478878,-1.36E-17,2.18E-20,-2.18E-20
Pd70Zr20Ag10,FCC,-6719.813839,-1.46E-17,2.16E-20,-2.16E-20
Pd70Zr20Ag10,HCP,-6710.399915,-1.46E-17,1.05E-21,-1.05E-21
Pd70Zr20Ag10,TOP,-6712.399915,-1.46E-17,5.41E-21,-5.41E-21
Pd70Zr20Ag10,BRIDGE,-6711.399915,-1.46E-17,3.23E-21,-3.23E-21
Pd80Cu20,FCC,-6286.980749,-1.37E-17,9.86E-21,-9.86E-21
Pd80Cu20,HCP,-6283.832808,-1.37E-17,3.00E-21,-3.00E-21
Pd80Cu20,TOP,-6286.67691,-1.37E-17,9.20E-21,-9.20E-21
Pd80Cu20,BRIDGE,-6286.980749,-1.37E-17,9.86E-21,-9.86E-21
PdAu10,FCC,-7651.785227,-1.67E-17,4.55E-21,-4.55E-21
PdAu10,HCP,-7649.069041,-1.67E-17,-1.37E-21,1.37E-21
PdAu10,TOP,-7651.557724,-1.67E-17,4.05E-21,-4.05E-21
PdAu10,BRIDGE,-7655.891708,-1.67E-17,1.35E-20,-1.35E-20
PdAu20,FCC,-8536.553929,-1.86E-17,-1.14E-20,1.14E-20
PdAu20,HCP,-8539.069041,-1.86E-17,-5.92E-21,5.92E-21
PdAu20,TOP,-8539.540161,-1.86E-17,-4.89E-21,4.89E-21
PdAu20,BRIDGE,-8539.862343,-1.86E-17,-4.19E-21,4.19E-21
PdZr10,FCC,-6705.409403,-1.46E-17,-9.18E-21,9.18E-21
PdZr10,HCP,-6706.922593,-1.46E-17,-5.88E-21,5.88E-21
PdZr10,TOP,-6705.518328,-1.46E-17,-8.94E-21,8.94E-21
PdZr10,BRIDGE,-6705.754111,-1.46E-17,-8.43E-21,8.43E-21
PdZr20,FCC,-6668.010463,-1.45E-17,1.39E-20,-1.39E-20
PdZr20,HCP,-6658.884286,-1.45E-17,-5.98E-21,5.98E-21
PdZr20,TOP,-6667.396766,-1.45E-17,1.26E-20,-1.26E-20
PdZr20,BRIDGE,-6657.580975,-1.45E-17,-8.82E-21,8.82E-21
Pd60Cu40,FCC,-5813.066399,-1.27E-17,1.25E-20,-1.25E-20
Pd60Cu40,HCP,-5810.066399,-1.27E-17,5.97E-21,-5.97E-21
Pd60Cu40,TOP,-5810.291699,-1.27E-17,6.47E-21,-6.47E-21
Pd60Cu40,BRIDGE,-5810.153828,-1.27E-17,6.16E-21,-6.16E-21
