Metal,Site,Total energy (Ry),Total energy (kJ),Adsorption energy(kJ)
Pd,FCC,-6650.586,-1.44974E-17,1.87077E-20
Pd,HCP,-6650.56,-1.44974E-17,1.87643E-20
Pd,TOP,-6650.557,-1.44974E-17,1.87709E-20
Pd,BRIDGE,-6650.576,-1.44974E-17,1.87295E-20
PdAg23,FCC,-6775.545062,-1.47698E-17,1.00643E-20
PdAg23,HCP,-6775.534962,-1.47698E-17,1.00863E-20
PdAg23,TOP,-6775.54631,-1.47698E-17,1.00616E-20
PdAg23,BRIDGE,-6775.509172,-1.47697E-17,1.01426E-20
Pd70Au20Ag10,FCC,-8491.40348,-1.85102E-17,8.34351E-22
Pd70Au20Ag10,HCP,-8491.370889,-1.85101E-17,9.05397E-22
Pd70Au20Ag10,TOP,-8491.669767,-1.85108E-17,2.53881E-22
Pd70Au20Ag10,BRIDGE,-8491.107654,-1.85095E-17,1.47921E-21
Pd70Au20Cu10,FCC,-8205.526624,-1.7887E-17,6.84397E-22
Pd70Au20Cu10,HCP,-8205.496899,-1.78869E-17,7.49194E-22
Pd70Au20Cu10,TOP,-8205.743725,-1.78875E-17,2.11145E-22
Pd70Au20Cu10,BRIDGE,-8205.783974,-1.78876E-17,1.23407E-22
Pd70Au20Zr10,FCC,-8394.985913,-1.83E-17,8.93771E-22
Pd70Au20Zr10,HCP,-8394.968852,-1.83E-17,9.30961E-22
Pd70Au20Zr10,TOP,-8395.266786,-1.83006E-17,2.81503E-22
Pd70Au20Zr10,BRIDGE,-8395.323919,-1.83007E-17,1.56961E-22
Pd70Cu20Ag10,FCC,-6232.203441,-1.35854E-17,6.37463E-22
Pd70Cu20Ag10,HCP,-6232.175639,-1.35853E-17,6.98066E-22
Pd70Cu20Ag10,TOP,-6227.120879,-1.35743E-17,1.17168E-20
Pd70Cu20Ag10,BRIDGE,-6232.413855,-1.35859E-17,1.78787E-22
Pd70Cu20Zr10,FCC,-6135.770762,-1.33752E-17,6.85965E-22
Pd70Cu20Zr10,HCP,-6135.756779,-1.33752E-17,7.16446E-22
Pd70Cu20Zr10,TOP,-6135.960826,-1.33756E-17,2.71648E-22
Pd70Cu20Zr10,BRIDGE,-6136.016814,-1.33757E-17,1.49602E-22
Pd70Zr20Ag10,FCC,-6611.168713,-1.44115E-17,7.96743E-22
Pd70Zr20Ag10,HCP,-6611.150331,-1.44115E-17,8.36813E-22
Pd70Zr20Ag10,TOP,-6611.395128,-1.4412E-17,3.03188E-22
Pd70Zr20Ag10,BRIDGE,-6611.434786,-1.44121E-17,2.16738E-22
PdAu10,FCC,-7550.977198,-1.64602E-17,7.34184E-22
PdAu10,HCP,-7551.019721,-1.64603E-17,6.4149E-22
PdAu10,TOP,-7551.212839,-1.64607E-17,2.20518E-22
PdAu10,BRIDGE,-7551.250906,-1.64608E-17,1.37537E-22
PdAu20,FCC,-8438.780934,-1.83955E-17,1.00712E-20
PdAu20,HCP,-8438.791156,-1.83955E-17,1.00489E-20
PdAu20,TOP,-8443.30019,-1.84053E-17,2.19753E-22
PdAu20,BRIDGE,-8443.340592,-1.84054E-17,1.31681E-22
Pd80Cu20,FCC,-6183.822506,-1.34799E-17,5.4975E-22
Pd80Cu20,HCP,-6183.791129,-1.34799E-17,6.18148E-22
Pd80Cu20,TOP,-6183.976604,-1.34803E-17,2.13837E-22
Pd80Cu20,BRIDGE,-6184.017882,-1.34804E-17,1.23855E-22
PdZr10,HCP,-6606.623005,-1.44016E-17,1.00579E-20
PdZr10,FCC,-6606.564818,-1.44015E-17,1.01847E-20
PdZr10,TOP,-6606.632324,-1.44016E-17,1.00375E-20
PdZr10,BRIDGE,-6606.621474,-1.44016E-17,1.00612E-20
PdZr20,HCP,-6558.628089,-1.4297E-17,1.0061E-20
PdZr20,TOP,-6558.621983,-1.4297E-17,1.00743E-20
PdZr20,FCC,-6558.567482,-1.42968E-17,1.01931E-20
PdZr20,BRIDGE,-6558.625807,-1.4297E-17,1.0066E-20
Pd60Cu40,FCC,-5704.226399,-1.24345E-17,1.0279E-20
Pd60Cu40,HCP,-5704.266399,-1.24346E-17,1.01918E-20
Pd60Cu40,TOP,-5704.253828,-1.24345E-17,1.02192E-20
Pd60Cu40,BRIDGE,-5704.291699,-1.24346E-17,1.01366E-20
