Metal,Pd,Ag,Au,Cu,Zr,Site,Total energy (Ry),Total energy (kJ),Adsorption energy(kJ),K/mol
Pd,100,0,0,0,0,FCC,-6775.545062,-1.48E-17,-5.45E-22,-15.63809963
Pd,100,0,0,0,0,HCP,-6775.534962,-1.48E-17,-5.23E-22,-15.00674646
Pd,100,0,0,0,0,TOP,-6775.54631,-1.48E-17,-5.48E-22,-15.71611884
Pd,100,0,0,0,0,BRIDGE,-6775.509172,-1.48E-17,-4.67E-22,-13.3945593
PdAg23,77,23,0,0,0,FCC,-6775.495062,-1.48E-17,-4.36E-22,-12.51250534
PdAg23,77,23,0,0,0,HCP,-6775.494962,-1.48E-17,-4.36E-22,-12.50627103
PdAg23,77,23,0,0,0,TOP,-6775.50631,-1.48E-17,-4.61E-22,-13.21564341
PdAg23,77,23,0,0,0,BRIDGE,-6775.489172,-1.48E-17,-4.23E-22,-12.14432159
Pd70Au20Ag10,70,10,20,0,0,FCC,-8201.018007,-1.79E-17,-9.71E-23,-2.783117924
Pd70Au20Ag10,70,10,20,0,0,HCP,-8201.050717,-1.79E-17,-1.68E-22,-4.827836075
Pd70Au20Ag10,70,10,20,0,0,TOP,-8201.131448,-1.79E-17,-3.44E-22,-9.874490631
Pd70Au20Ag10,70,10,20,0,0,BRIDGE,-8201.217879,-1.79E-17,-5.33E-22,-15.27744043
Pd70Au20Cu10,70,0,20,10,0,FCC,-6227.681893,-1.36E-17,-1.16E-22,-3.32071139
Pd70Au20Cu10,70,0,20,10,0,HCP,-6227.746357,-1.36E-17,-2.56E-22,-7.350480098
Pd70Au20Cu10,70,0,20,10,0,TOP,-6227.706103,-1.36E-17,-1.69E-22,-4.834102892
Pd70Au20Cu10,70,0,20,10,0,BRIDGE,-6227.850879,-1.36E-17,-4.84E-22,-13.8843168
Pd70Au20Zr10,70,0,20,0,10,FCC,-8487.053226,-1.85E-17,-2.92E-22,-8.382453815
Pd70Au20Zr10,70,0,20,0,10,HCP,-8487.041779,-1.85E-17,-2.67E-22,-7.666825872
Pd70Au20Zr10,70,0,20,0,10,TOP,-8487.037654,-1.85E-17,-2.58E-22,-7.409015603
Pd70Au20Zr10,70,0,20,0,10,BRIDGE,-8546.118763,-1.86E-17,-1.30E-22,-3.721376321
Pd70Cu20Ag10,70,10,0,20,0,FCC,-6131.302084,-1.34E-17,-1.83E-22,-5.234783451
Pd70Cu20Ag10,70,10,0,20,0,HCP,-6131.360869,-1.34E-17,-3.11E-22,-8.909577165
Pd70Cu20Ag10,70,10,0,20,0,TOP,-6131.316257,-1.34E-17,-2.13E-22,-6.120795665
Pd70Cu20Ag10,70,10,0,20,0,BRIDGE,-6131.39179,-1.34E-17,-3.78E-22,-10.84252156
Pd70Cu20Zr10,70,0,0,20,10,FCC,-6131.311029,-1.34E-17,-2.02E-22,-5.79395352
Pd70Cu20Zr10,70,0,0,20,10,HCP,-6131.259947,-1.34E-17,-9.07E-23,-2.60073012
Pd70Cu20Zr10,70,0,0,20,10,TOP,-6131.298067,-1.34E-17,-1.74E-22,-4.983708212
Pd70Cu20Zr10,70,0,0,20,10,BRIDGE,-6131.245375,-1.34E-17,-5.89E-23,-1.689850053
Pd70Zr20Ag10,70,10,0,0,20,FCC,-6606.75766,-1.44E-17,-1.97E-22,-5.660255599
Pd70Zr20Ag10,70,10,0,0,20,HCP,-6606.786806,-1.44E-17,-2.61E-22,-7.482275783
Pd70Zr20Ag10,70,10,0,0,20,TOP,-6606.727518,-1.44E-17,-1.32E-22,-3.776022962
Pd70Zr20Ag10,70,10,0,0,20,BRIDGE,-6606.675504,-1.44E-17,-1.83E-23,-0.52454161
Pd80Cu20,80,0,0,20,0,FCC,-6179.399141,-1.35E-17,-4.18E-22,-11.97358475
Pd80Cu20,80,0,0,20,0,HCP,-6179.398141,-1.35E-17,-4.15E-22,-11.91107286
Pd80Cu20,80,0,0,20,0,TOP,-6179.371103,-1.35E-17,-3.56E-22,-10.22090337
Pd80Cu20,80,0,0,20,0,BRIDGE,-6179.409424,-1.35E-17,-4.40E-22,-12.61640572
Pd60Cu40,60,0,0,40,0,FCC,-7546.624432,-1.65E-17,-3.87E-22,-11.09785824
Pd60Cu40,60,0,0,40,0,HCP,-7546.637851,-1.65E-17,-4.16E-22,-11.93670961
Pd60Cu40,60,0,0,40,0,TOP,-7546.647851,-1.65E-17,-4.38E-22,-12.56182847
Pd60Cu40,60,0,0,40,0,BRIDGE,-7546.604872,-1.65E-17,-3.44E-22,-9.875143255
PdAu20,80,0,20,0,0,FCC,-5704.156399,-1.24E-17,-1.78E-22,-5.107156685
PdAu20,80,0,20,0,0,HCP,-5704.196399,-1.24E-17,-2.65E-22,-7.607632117
PdAu20,80,0,20,0,0,TOP,-5704.183828,-1.24E-17,-2.38E-22,-6.821797076
PdAu20,80,0,20,0,0,BRIDGE,-5704.221699,-1.24E-17,-3.20E-22,-9.189185954
PdZr10,90,0,0,0,10,FCC,-6606.494818,-1.44E-17,-2.72E-22,-7.810793246
PdZr10,90,0,0,0,10,HCP,-6606.553005,-1.44E-17,-3.99E-22,-11.44819485
PdZr10,90,0,0,0,10,TOP,-6606.562324,-1.44E-17,-4.20E-22,-12.03074749
PdZr10,90,0,0,0,10,BRIDGE,-6606.551474,-1.44E-17,-3.96E-22,-11.3524579
PdZr20,80,0,0,0,20,FCC,-6558.497482,-1.43E-17,-2.64E-22,-7.568299014
