Metal,Site,Total energy (Ry),Total energy (kJ),Adsorption energy(kJ),,Adsorption energy(kJ),,,
Pd,FCC,-6735.959,-1.47E-17,8.44E-22,5.37E-22,-5.45E-22,,-5.21E-22,-1.030808449
Pd,HCP,-6735.875,-1.47E-17,1.03E-21,,-5.23E-22,,,
Pd,TOP,-6736.159,-1.47E-17,4.08E-22,,-5.48E-22,,,
Pd,BRIDGE,-6736.406,-1.47E-17,-1.31E-22,,-4.67E-22,,,
PdAg23,BRIDGE,-6857.363588,-1.49E-17,-5.14E-23,6.87E-22,-4.36E-22,,-4.39E-22,-1.564667938
PdAg23,FCC,-6856.838699,-1.49E-17,1.09E-21,,-4.36E-22,,,
PdAg23,HCP,-6856.750814,-1.49E-17,1.28E-21,,-4.61E-22,,,
PdAg23,TOP,-6857.146477,-1.49E-17,4.22E-22,,-4.23E-22,,,
Pd70Au20Ag10,FCC,-8569.165898,-1.87E-17,-4.40E-22,-4.41E-22,-9.71E-23,,-2.86E-22,1.543513703
Pd70Au20Ag10,HCP,-8569.147482,-1.87E-17,-3.99E-22,,-1.68E-22,,,
Pd70Au20Ag10,TOP,-8569.163481,-1.87E-17,-4.34E-22,,-3.44E-22,,,
Pd70Au20Ag10,BRIDGE,-8569.188763,-1.87E-17,-4.89E-22,,-5.33E-22,,,
Pd70Au20Cu10,FCC,-8283.814573,-1.81E-17,-1.74E-21,-9.32E-22,-1.16E-22,,-2.56E-22,3.638922244
Pd70Au20Cu10,HCP,-8283.757495,-1.81E-17,-1.61E-21,,-2.56E-22,,,
Pd70Au20Cu10,TOP,-8283.03938,-1.81E-17,-4.53E-23,,-1.69E-22,,,
Pd70Au20Cu10,BRIDGE,-8283.173956,-1.81E-17,-3.39E-22,,-4.84E-22,,,
Pd70Au20Zr10,FCC,-8473.078934,-1.85E-17,-1.10E-21,-1.38E-21,-2.92E-22,,-2.37E-22,5.826025343
Pd70Au20Zr10,HCP,-8473.010635,-1.85E-17,-9.52E-22,,-2.67E-22,,,
Pd70Au20Zr10,TOP,-8473.03938,-1.85E-17,-1.01E-21,,-2.58E-22,,,
Pd70Au20Zr10,BRIDGE,-8473.697736,-1.85E-17,-2.45E-21,,-1.30E-22,,,
Pd70Cu20Ag10,FCC,-6313.476684,-1.38E-17,-8.29E-21,-8.67E-21,-1.83E-22,,-2.71E-22,31.96931797
Pd70Cu20Ag10,HCP,-6313.425452,-1.38E-17,-8.18E-21,,-3.11E-22,,,
Pd70Cu20Ag10,TOP,-6313.876103,-1.38E-17,-9.16E-21,,-2.13E-22,,,
Pd70Cu20Ag10,BRIDGE,-6313.82952,-1.38E-17,-9.06E-21,,-3.78E-22,,,
Pd70Cu20Zr10,FCC,-6213.956898,-1.35E-17,-1.51E-21,-2.44E-21,-2.02E-22,,-1.31E-22,18.544121
Pd70Cu20Zr10,HCP,-6215.901768,-1.35E-17,-5.75E-21,,-9.07E-23,,,
Pd70Cu20Zr10,TOP,-6215.267078,-1.35E-17,-4.37E-21,,-1.74E-22,,,
Pd70Cu20Zr10,BRIDGE,-6212.399297,-1.35E-17,1.88E-21,,-5.89E-23,,,
Pd70Zr20Ag10,FCC,-6684.262323,-1.46E-17,9.70E-21,3.72E-21,-1.97E-22,,-1.52E-22,-24.46085813
Pd70Zr20Ag10,HCP,-6686.193131,-1.46E-17,5.49E-21,,-2.61E-22,,,
Pd70Zr20Ag10,TOP,-6687.746213,-1.46E-17,2.11E-21,,-1.32E-22,,,
Pd70Zr20Ag10,BRIDGE,-6689.821311,-1.46E-17,-2.42E-21,,-1.83E-23,,,
Pd80Cu20,FCC,-6263.170374,-1.37E-17,-4.18E-21,-4.35E-21,-4.18E-22,,-4.07E-22,10.67895641
Pd80Cu20,HCP,-6263.086079,-1.37E-17,-4.00E-21,,-4.15E-22,,,
Pd80Cu20,TOP,-6263.286777,-1.37E-17,-4.43E-21,,-3.56E-22,,,
Pd80Cu20,BRIDGE,-6263.447865,-1.37E-17,-4.79E-21,,-4.40E-22,,,
PdAu10,FCC,-7625.259287,-1.66E-17,2.70E-21,-3.93E-21,-3.87E-22,,-3.96E-22,9.911741956
PdAu10,HCP,-7626.310967,-1.66E-17,4.25E-22,,-4.16E-22,,,
PdAu10,TOP,-7626.516027,-1.66E-17,2.13E-21,,-4.38E-22,,,
PdAu10,BRIDGE,-7628.674822,-1.66E-17,1.94E-21,,-3.44E-22,,,
PdAu20,FCC,-8519.341242,-1.86E-17,7.05E-21,-1.80E-21,-1.78E-22,,-2.50E-22,7.187314685
PdAu20,HCP,-8520.384011,-1.86E-17,4.75E-21,,-2.65E-22,,,
PdAu20,TOP,-8519.600646,-1.86E-17,4.31E-21,,-2.38E-22,,,
PdAu20,BRIDGE,-8519.689679,-1.86E-17,-3.99E-22,,-3.20E-22,,,
PdZr10,FCC,-6687.039967,-1.46E-17,3.00E-21,-7.98E-22,-2.72E-22,,-3.72E-22,2.145292535
PdZr10,HCP,-6690.130585,-1.46E-17,-3.74E-21,,-3.99E-22,,,
PdZr10,TOP,-6687.426798,-1.46E-17,2.15E-21,,-4.20E-22,,,
PdZr10,BRIDGE,-6687.59912,-1.46E-17,1.78E-21,,-3.96E-22,,,
PdZr20,FCC,-6639.010463,-1.45E-17,3.08E-21,2.52E-21,-2.64E-22,,-3.59E-22,-7.021034728
PdZr20,HCP,-6639.079149,-1.45E-17,2.93E-21,,-3.96E-22,,,
PdZr20,TOP,-6640.396766,-1.45E-17,5.39E-23,,-3.83E-22,,,
PdZr20,BRIDGE,-6638.580975,-1.45E-17,4.01E-21,,-3.91E-22,,,
Pd60Cu40,FCC,-5790.066399,-1.26E-17,-8.60E-21,-7.68E-21,-3.86E-22,,-3.82E-22,20.10094179
Pd60Cu40,HCP,-5791.066399,-1.26E-17,-1.08E-20,,-4.08E-22,,,
Pd60Cu40,TOP,-5787.153828,-1.26E-17,-2.25E-21,,-3.90E-22,,,
Pd60Cu40,BRIDGE,-5790.291699,-1.26E-17,-9.09E-21,,-3.45E-22,,,
