Metal,Site,Total energy (Ry),Total energy (kJ),Adsorption energy(kJ),,Adsorption energy(kJ),,,
Pd,FCC,-6723.122764,-1.47E-17,-1.67E-21,-1.09E-21,-5.45E-22,,-5.21E-22,2.090254441
Pd,HCP,-6722.813261,-1.47E-17,-9.97E-22,,-5.23E-22,,,
Pd,TOP,-6722.872296,-1.47E-17,-1.13E-21,,-5.48E-22,,,
Pd,BRIDGE,-6722.474005,-1.47E-17,-5.57E-22,,-4.67E-22,,,
PdAg23,FCC,-6844.932392,-1.49E-17,-9.45E-22,-2.09E-21,-4.36E-22,,-4.39E-22,4.757972665
PdAg23,HCP,-6844.681157,-1.49E-17,-8.90E-22,,-4.36E-22,,,
PdAg23,TOP,-6844.841876,-1.49E-17,-3.25E-21,,-4.61E-22,,,
PdAg23,BRIDGE,-6844.393085,-1.49E-17,-3.27E-21,,-4.23E-22,,,
PdAu10,FCC,-7614.989824,-1.66E-17,-2.06E-21,-8.93E-22,-9.71E-23,,-2.86E-22,3.125820856
PdAu10,HCP,-7614.891734,-1.66E-17,-8.50E-22,,-1.68E-22,,,
PdAu10,TOP,-7614.984158,-1.66E-17,-9.05E-22,,-3.44E-22,,,
PdAu10,BRIDGE,-7614.389621,-1.66E-17,2.45E-22,,-5.33E-22,,,
PdAu20,FCC,-8506.064508,-1.85E-17,2.98E-22,3.33E-22,-1.16E-22,,-2.56E-22,-1.298536585
PdAu20,HCP,-8506.946903,-1.85E-17,2.85E-22,,-2.56E-22,,,
PdAu20,TOP,-8506.067938,-1.85E-17,2.68E-22,,-1.69E-22,,,
PdAu20,BRIDGE,-8506.476357,-1.85E-17,4.80E-22,,-4.84E-22,,,
Pd60Cu40,FCC,-5772.816738,-1.26E-17,-1.50E-21,-7.44E-22,-2.92E-22,,-2.37E-22,3.141393875
Pd60Cu40,HCP,-5772.554884,-1.26E-17,-9.27E-22,,-2.67E-22,,,
Pd60Cu40,TOP,-5772.345233,-1.26E-17,-4.70E-22,,-2.58E-22,,,
Pd60Cu40,BRIDGE,-5772.165541,-1.26E-17,-7.79E-23,,-1.30E-22,,,
Pd80Cu20,FCC,-6248.025541,-1.36E-17,-7.66E-22,-8.58E-22,-1.83E-22,,-2.71E-22,3.1640553
Pd80Cu20,HCP,-6248.156482,-1.36E-17,-6.95E-22,,-3.11E-22,,,
Pd80Cu20,TOP,-6248.065541,-1.36E-17,-9.75E-22,,-2.13E-22,,,
Pd80Cu20,BRIDGE,-6248.165541,-1.36E-17,-9.97E-22,,-3.78E-22,,,
Pd70Au20Ag10,FCC,-8555.027655,-1.86E-17,-9.91E-23,-3.14E-22,-2.02E-22,,-1.31E-22,2.386035008
Pd70Au20Ag10,HCP,-8554.911204,-1.86E-17,-1.88E-22,,-9.07E-23,,,
Pd70Au20Ag10,TOP,-8555.013768,-1.86E-17,-3.74E-22,,-1.74E-22,,,
Pd70Au20Ag10,BRIDGE,-8555.998233,-1.87E-17,-5.93E-22,,-5.89E-23,,,
Pd70Au20Cu10,FCC,-8268.645935,-1.80E-17,5.34E-22,4.41E-22,-1.97E-22,,-1.52E-22,-2.898241
Pd70Au20Cu10,HCP,-8268.934699,-1.80E-17,2.05E-22,,-2.61E-22,,,
Pd70Au20Cu10,TOP,-8268.518758,-1.80E-17,5.11E-22,,-1.32E-22,,,
Pd70Au20Cu10,BRIDGE,-8268.052586,-1.80E-17,5.13E-22,,-1.83E-23,,,
Pd70Au20Zr10,FCC,-8458.551751,-1.84E-17,4.01E-23,-2.25E-22,-4.18E-22,,-4.07E-22,0.553685504
Pd70Au20Zr10,HCP,-8458.280119,-1.84E-17,2.62E-22,2.25E-22,-4.15E-22,,,
Pd70Au20Zr10,TOP,-8458.607923,-1.84E-17,-5.23E-23,5.23E-23,-3.56E-22,,,
Pd70Au20Zr10,BRIDGE,-8458.333173,-1.84E-17,5.47E-22,,-4.40E-22,,,
Pd70Cu20Ag10,FCC,-6199.739298,-1.35E-17,-2.02E-21,-1.05E-21,-3.87E-22,,-3.96E-22,2.659936909
Pd70Cu20Ag10,HCP,-6199.701672,-1.35E-17,-9.33E-22,,-4.16E-22,,,
Pd70Cu20Ag10,TOP,-6199.724401,-1.35E-17,-6.83E-22,,-4.38E-22,,,
Pd70Cu20Ag10,BRIDGE,-6199.723023,-1.35E-17,-5.80E-22,,-3.44E-22,,,
Pd70Cu20Zr10,FCC,-6131.311029,-1.34E-17,-2.02E-22,-1.31E-22,-1.78E-22,,-2.50E-22,0.525074925
Pd70Cu20Zr10,HCP,-6131.259947,-1.34E-17,-9.07E-23,,-2.65E-22,,,
Pd70Cu20Zr10,TOP,-6131.298067,-1.34E-17,-1.74E-22,,-2.38E-22,,,
Pd70Cu20Zr10,BRIDGE,-6131.245375,-1.34E-17,-5.89E-23,,-3.20E-22,,,
Pd70Zr20Ag10,FCC,-6674.857026,-1.46E-17,-2.94E-22,5.27E-22,-2.72E-22,,-3.72E-22,-1.417619368
Pd70Zr20Ag10,HCP,-6674.471719,-1.45E-17,5.46E-22,,-3.99E-22,,,
Pd70Zr20Ag10,TOP,-6674.092198,-1.45E-17,1.37E-21,,-4.20E-22,,,
Pd70Zr20Ag10,BRIDGE,-6674.499291,-1.45E-17,4.86E-22,,-3.96E-22,,,
PdZr10,FCC,-6606.494818,-1.44E-17,-3.72E-22,-4.22E-22,-2.64E-22,,-3.59E-22,1.176429568
PdZr10,HCP,-6606.553005,-1.44E-17,-3.99E-22,,-3.96E-22,,,
PdZr10,TOP,-6606.562324,-1.44E-17,-5.20E-22,,-3.83E-22,,,
PdZr10,BRIDGE,-6606.551474,-1.44E-17,-3.96E-22,,-3.91E-22,,,
PdZr20,FCC,-6558.497482,-1.43E-17,-1.64E-22,-3.59E-22,-3.86E-22,,-3.82E-22,0.937867888
PdZr20,HCP,-6558.558089,-1.43E-17,-3.96E-22,,-4.08E-22,,,
PdZr20,TOP,-6558.551983,-1.43E-17,-4.83E-22,,-3.90E-22,,,
PdZr20,BRIDGE,-6558.555807,-1.43E-17,-3.91E-22,,-3.45E-22,,,
