Time,P1(bar),P2(bar),T,P1a,P2a,p1b,p2b,CEFNI,,,
1,79,5,293,324.2862665,0.615733417,324.2862665,0.615733417,1,180,,
2,78.96759259,6,376.5989527,324.2862665,0.615733417,324.1532376,0.574860519,1.30251116,p1o,79,
3,78.93518519,6,450.3389761,324.2862665,0.615733417,324.0202088,0.480730918,1.834271592,p2o,5,
4,78.91087963,8,573.0784615,324.2862665,0.615733417,323.9204372,0.503693378,1.948730574,v1,0.01,
5,78.88657407,8,573.6117738,324.2862665,0.615733417,323.8206656,0.503225072,2.148808485,v2,0.0003,
6,78.86226852,8,573.9469367,324.2862665,0.615733417,323.7208939,0.502931208,2.348444289,,,
7,78.83796296,8,573.5882927,324.2862665,0.615733417,323.6211223,0.503245672,2.545233096,#DIV/0!,,
8,78.81018519,7,420.6083732,324.2862665,0.615733417,323.5070976,0.600496481,2.322914943,,,
9,78.77777778,6,316.8267343,324.2862665,0.615733417,323.3740688,0.683313136,2.236062782,,,
10,78.73888889,5,293.002945,324.2862665,0.615733417,323.2144342,0.615727229,2.740768288,,,
11,78.7,5,376.5319456,324.2862665,0.615733417,323.0547996,0.479135684,3.855275893,,,
12,78.66759259,6,450.8293725,324.2862665,0.615733417,322.9217708,0.480207996,4.123690344,,,
13,78.63518519,6,573.6895389,324.2862665,0.615733417,322.788742,0.377367644,5.599997606,,,573
14,78.61087963,8,573.1208725,324.2862665,0.615733417,322.6889703,0.503656104,4.393929708,,,
15,78.58657407,8,573.0539127,324.2862665,0.615733417,322.5891987,0.503714955,4.591487932,,,
16,78.56226852,8,573.3629908,324.2862665,0.615733417,322.4894271,0.503443422,4.792142776,,,
17,78.53796296,8,420.6155963,324.2862665,0.615733417,322.3896555,0.686269907,3.660869217,,,
18,78.51018519,7,316.4253897,324.2862665,0.615733417,322.2756308,0.798209802,3.290324266,,,
19,78.47777778,6,293.5075699,324.2862665,0.615733417,322.142602,0.737602337,3.741037369,,,
20,78.43888889,5,376.7829281,324.2862665,0.615733417,321.9829674,0.478816522,6.096348728,,,
21,78.4,5,450.3214451,324.2862665,0.615733417,321.8233328,0.400624694,7.684666298,,,
22,78.36111111,5,573.3666474,324.2862665,0.615733417,321.6636982,0.314650132,10.29175375,,,
23,78.3287037,6,573.7767686,324.2862665,0.615733417,321.5306694,0.377310274,8.935167519,,,
24,78.2962963,6,573.5278827,324.2862665,0.615733417,321.3976405,0.37747401,9.283710232,,,
25,78.27199074,8,573.6418204,324.2862665,0.615733417,321.2978689,0.503198713,7.162440697,,,
26,78.24768519,8,420.9471575,324.2862665,0.615733417,321.1980973,0.685729363,5.401405809,,,
27,78.22337963,8,316.6695176,324.2862665,0.615733417,321.0983257,0.911536507,4.172816065,,,
28,78.19907407,8,293.0217236,324.2862665,0.615733417,320.9985541,0.98510043,3.962485123,,,
29,78.1712963,7,376.7300917,324.2862665,0.615733417,320.8845294,0.670437147,5.992314904,,,
30,78.13888889,6,450.5186422,324.2862665,0.615733417,320.7515005,0.480539204,8.63717112,,,
31,78.1,5,573.9835257,324.2862665,0.615733417,320.5918659,0.314311968,13.712917,,,
32,78.06111111,5,573.8262419,324.2862665,0.615733417,320.4322314,0.314398119,14.21690601,,,
33,78.02222222,5,573.092908,324.2862665,0.615733417,320.2725968,0.314800425,14.70583496,,,
34,77.98981481,6,573.9945076,324.2862665,0.615733417,320.1395679,0.377167145,12.62684725,,,
35,77.95740741,6,420.3976696,324.2862665,0.615733417,320.0065391,0.514969243,9.506316774,,,
36,77.93310185,8,316.3404234,324.2862665,0.615733417,319.9067675,0.912484794,5.474318478,,,
37,77.9087963,8,293.265933,324.2862665,0.615733417,319.8069959,0.984280114,5.176376027,,,
38,77.88449074,8,376.8608538,324.2862665,0.615733417,319.7072243,0.765948023,6.782151591,,,
39,77.86018519,8,450.7242906,324.2862665,0.615733417,319.6074526,0.640426602,8.267219388,,,
40,77.83240741,7,573.5230285,324.2862665,0.615733417,319.4934279,0.440390072,12.28132121,,,
41,77.8,6,573.0704662,324.2862665,0.615733417,319.3603991,0.377775304,14.66903924,,,
42,77.76111111,5,573.4700977,324.2862665,0.615733417,319.2007645,0.314593371,18.12255397,,,
43,77.72222222,5,573.6935789,324.2862665,0.615733417,319.0411299,0.314470822,18.63724558,,,
44,77.68333333,5,420.9537266,324.2862665,0.615733417,318.8814953,0.428574164,14.04775424,,,
45,77.65092593,6,316.0119891,324.2862665,0.615733417,318.7484665,0.685074861,8.982278724,,,
46,77.61851852,6,293.7974623,324.2862665,0.615733417,318.6154377,0.736874539,8.531387425,,,
47,77.59421296,8,293,324.2862665,0.615733417,318.5156661,0.985173468,6.482445988,,,
48,77.56990741,8,376.0055442,324.2862665,0.615733417,318.4158945,0.767690345,8.448856303,,,
49,77.54560185,8,450.3039816,324.2862665,0.615733417,318.3161228,0.64102437,10.27398854,,,
50,77.5212963,8,573.9878735,324.2862665,0.615733417,318.2163512,0.502895339,13.29431421,,,
51,77.49351852,7,573.1395458,324.2862665,0.615733417,318.1023265,0.440684733,15.42979106,,,
52,77.46111111,6,573.3800852,324.2862665,0.615733417,317.9692977,0.377571309,18.36130556,,,
53,77.42222222,5,573.9302203,324.2862665,0.615733417,317.8096631,0.31434116,22.56254563,,,
54,77.38333333,5,420.1663725,324.2862665,0.615733417,317.6500285,0.429377273,16.8895091,,,
55,77.34444444,5,316.1802336,324.2862665,0.615733417,317.4903939,0.570591935,12.98932827,,,
56,77.31203704,6,293.8665969,324.2862665,0.615733417,317.3573651,0.736701183,10.24110582,,,
57,77.27962963,6,293,324.2862665,0.615733417,317.2243363,0.738880101,10.3909465,,,
58,77.25532407,8,376.6676655,324.2862665,0.615733417,317.1245647,0.766340869,10.14879348,,,
59,77.23101852,8,450.4210977,324.2862665,0.615733417,317.024793,0.640857694,12.29166305,,,
60,77.20671296,8,573.6084349,324.2862665,0.615733417,316.9250214,0.503228001,15.85161883,,,
61,77.18240741,8,573.3017577,324.2862665,0.615733417,316.8252498,0.503497193,16.04130108,,,
62,77.15462963,7,573.0695085,324.2862665,0.615733417,316.7112251,0.440738591,18.58420149,,,
63,77.12222222,6,573.0231935,324.2862665,0.615733417,316.5781963,0.377806469,22.0319245,,,
64,77.08333333,5,420.9240547,324.2862665,0.615733417,316.4185617,0.428604375,19.79316753,,,
65,77.04444444,5,316.1502737,324.2862665,0.615733417,316.2589271,0.570646007,15.1461198,,,
66,77.00555556,5,293.9930548,324.2862665,0.615733417,316.0992925,0.613653582,14.34475024,,,
67,76.97314815,6,293,324.2862665,0.615733417,315.9662637,0.738880101,12.0936214,,,
68,76.94074074,6,376.6433722,324.2862665,0.615733417,315.8332348,0.574792723,15.77745274,,,
69,76.91643519,8,450.3691419,324.2862665,0.615733417,315.7334632,0.640931625,14.3050152,,,
70,76.89212963,8,573.4855985,324.2862665,0.615733417,315.6336916,0.503335789,18.41376764,,,
71,76.86782407,8,573.8369818,324.2862665,0.615733417,315.53392,0.503027576,18.62339228,,,
