time,Signal,error
3,10,
3.1,10,
3.11,10,
3.12,10,
3.13,10,
3.14,10,
3.15,10,
3.16,10,
3.17,10,
3.18,10,
3.19,10,
3.2,10,0
3.22,972.5777778,
3.23,1935.155556,
3.24,2576.874074,
3.25,2897.733333,11.31552522
3.26,1453.866667,0
3.27,298.7733333,
3.28,10,
3.33,10,
3.38,10,
3.43,10,
3.48,10,
3.53,10,
3.58,10,
3.63,10,
3.8,10,0
3.85,10,
3.89,2597.466667,
3.9,4322.444444,
3.91,5472.42963,
3.92,7772.4,8.007
3.93,5472.42963,
3.94,4322.444444,
3.95,2597.466667,
4,10,0
4.1,10,
4.2,10,
4.3,10,
4.4,10,
4.5,10,
4.6,10,
4.7,10,
