time,Signal,error
1.9,10,
2,10,
2.1,10,
2.2,10,
2.3,10,
2.4,7586.533,
2.5,10,
2.6,10,
2.7,10,
2.8,10,
2.9,10,
3,10,
3.1,10,
3.11,10,
3.12,10,
3.13,10,
3.14,10,
3.15,10,
3.16,10,
3.17,10,
3.18,10,
3.19,10,
3.2,10,0
3.22,4331.29642,
3.23,43312.9642,
3.24,216564.821,
3.25,216564.821,11.31552522
3.26,72188.27367,0
3.27,7218.827367,
3.28,10,
3.33,10,
3.38,10,
3.43,10,
3.48,10,
3.53,10,
3.58,10,
3.63,10,
3.8,23.00295967,0
3.85,230.0295967,
3.89,2300.295967,
3.9,23002.95967,
3.91,345044.395,
3.92,1035133.185,8.007
3.93,115014.7983,
3.94,345044.395,
3.95,115014.7983,
3.96,7667.653222,0
3.97,766.7653222,
3.98,76.67653222,
4.1,15,
4.2,10,
4.5,10,
4.6,10,
4.7,10,
