Time,P1(bar),P2(bar),T,P1a,P2a,p1b,p2b,CEFNI,,,,
1,79,5,293,324.2862665,0.615733417,324.2862665,0.615733417,1,,,,
2,78.96759259,6,376.5989527,324.2862665,0.615733417,324.1532376,0.574860519,2.018892298,,,,
3,78.93518519,6,450.3389761,324.2862665,0.615733417,324.0202088,0.480730918,2.843120968,,,,
4,78.91087963,8,573.0784615,324.2862665,0.615733417,323.9204372,0.503693378,3.02053239,,,,
5,78.88657407,8,573.6117738,324.2862665,0.615733417,323.8206656,0.503225072,3.330653152,,,,
6,78.86226852,8,573.9469367,324.2862665,0.615733417,323.7208939,0.502931208,3.640088648,,,,
7,78.83796296,8,573.5882927,324.2862665,0.615733417,323.6211223,0.503245672,3.945111299,,,,
8,78.81018519,7,420.6083732,324.2862665,0.615733417,323.5070976,0.600496481,3.600518162,,,,
9,78.77777778,6,316.8267343,324.2862665,0.615733417,323.3740688,0.683313136,3.465897312,,,,
10,78.73888889,5,293.002945,324.2862665,0.615733417,323.2144342,0.615727229,4.248190846,,,,
11,78.7,5,376.5319456,324.2862665,0.615733417,323.0547996,0.479135684,5.975677634,,,,
12,78.66759259,6,450.8293725,324.2862665,0.615733417,322.9217708,0.480207996,6.391720033,,,,
13,78.63518519,6,573.6895389,324.2862665,0.615733417,322.788742,0.377367644,8.679996289,,,,
14,78.61087963,8,573.1208725,324.2862665,0.615733417,322.6889703,0.503656104,6.810591047,,,,
15,78.58657407,8,573.0539127,324.2862665,0.615733417,322.5891987,0.503714955,7.116806295,,,,
16,78.56226852,8,573.3629908,324.2862665,0.615733417,322.4894271,0.503443422,7.427821303,,,,
17,78.53796296,8,420.6155963,324.2862665,0.615733417,322.3896555,0.686269907,5.674347286,,,,
18,78.51018519,7,316.4253897,324.2862665,0.615733417,322.2756308,0.798209802,5.100002612,,,,
19,78.47777778,6,293.5075699,324.2862665,0.615733417,322.142602,0.737602337,5.798607922,,,,
20,78.43888889,5,376.7829281,324.2862665,0.615733417,321.9829674,0.478816522,9.449340528,,,,
21,78.4,5,450.3214451,324.2862665,0.615733417,321.8233328,0.400624694,11.91123276,,,,
22,78.36111111,5,573.3666474,324.2862665,0.615733417,321.6636982,0.314650132,15.95221831,,,,
23,78.3287037,6,573.7767686,324.2862665,0.615733417,321.5306694,0.377310274,13.84950965,,,,
24,78.2962963,6,573.5278827,324.2862665,0.615733417,321.3976405,0.37747401,14.38975086,,,,
25,78.27199074,8,573.6418204,324.2862665,0.615733417,321.2978689,0.503198713,11.10178308,,,,
26,78.24768519,8,420.9471575,324.2862665,0.615733417,321.1980973,0.685729363,8.372179004,,,,
27,78.22337963,8,316.6695176,324.2862665,0.615733417,321.0983257,0.911536507,6.467864901,,,,
28,78.19907407,8,293.0217236,324.2862665,0.615733417,320.9985541,0.98510043,6.141851941,,,,
29,78.1712963,7,376.7300917,324.2862665,0.615733417,320.8845294,0.670437147,9.288088101,,,,
30,78.13888889,6,450.5186422,324.2862665,0.615733417,320.7515005,0.480539204,13.38761524,,,,
31,78.1,5,573.9835257,324.2862665,0.615733417,320.5918659,0.314311968,21.25502135,,,,
32,78.06111111,5,573.8262419,324.2862665,0.615733417,320.4322314,0.314398119,22.03620432,,,,
33,78.02222222,5,573.092908,324.2862665,0.615733417,320.2725968,0.314800425,22.79404419,,,,
34,77.98981481,6,573.9945076,324.2862665,0.615733417,320.1395679,0.377167145,19.57161324,,,,
35,77.95740741,6,420.3976696,324.2862665,0.615733417,320.0065391,0.514969243,14.734791,,,,
36,77.93310185,8,316.3404234,324.2862665,0.615733417,319.9067675,0.912484794,8.485193641,,,,
37,77.9087963,8,293.265933,324.2862665,0.615733417,319.8069959,0.984280114,8.023382842,,,,
38,77.88449074,8,376.8608538,324.2862665,0.615733417,319.7072243,0.765948023,10.51233497,,,,
39,77.86018519,8,450.7242906,324.2862665,0.615733417,319.6074526,0.640426602,12.81419005,,,,
40,77.83240741,7,573.5230285,324.2862665,0.615733417,319.4934279,0.440390072,19.03604788,,,,
41,77.8,6,573.0704662,324.2862665,0.615733417,319.3603991,0.377775304,22.73701082,,,,
42,77.76111111,5,573.4700977,324.2862665,0.615733417,319.2007645,0.314593371,28.08995865,,,,
43,77.72222222,5,573.6935789,324.2862665,0.615733417,319.0411299,0.314470822,28.88773065,,,,
44,77.68333333,5,420.9537266,324.2862665,0.615733417,318.8814953,0.428574164,21.77401907,,,,
45,77.65092593,6,316.0119891,324.2862665,0.615733417,318.7484665,0.685074861,13.92253202,,,,
46,77.61851852,6,293.7974623,324.2862665,0.615733417,318.6154377,0.736874539,13.22365051,,,,
47,77.59421296,8,293,324.2862665,0.615733417,318.5156661,0.985173468,10.04779128,,,,
48,77.56990741,8,376.0055442,324.2862665,0.615733417,318.4158945,0.767690345,13.09572727,,,,
49,77.54560185,8,450.3039816,324.2862665,0.615733417,318.3161228,0.64102437,15.92468224,,,,
50,77.5212963,8,573.9878735,324.2862665,0.615733417,318.2163512,0.502895339,20.60618703,,,,
51,77.49351852,7,573.1395458,324.2862665,0.615733417,318.1023265,0.440684733,23.91617614,,,,
52,77.46111111,6,573.3800852,324.2862665,0.615733417,317.9692977,0.377571309,28.46002362,,,,
53,77.42222222,5,573.9302203,324.2862665,0.615733417,317.8096631,0.31434116,34.97194573,,,,
54,77.38333333,5,420.1663725,324.2862665,0.615733417,317.6500285,0.429377273,26.17873911,,,,
