Time,P1(bar),P2(bar),T,P1a,P2a,p1b,p2b,CEFNI,P1(bar)zr,P2(bar)zr,Tzr,P1azr,P2azr,p1bzr,p2bzr,CEFNIzr,P1(bar)zr2,P2(bar)zr2,Tzr2,P1azr2,P2azr2,p1bzr2,p2bzr2,CEFNIzr2,,,,,
1,79,5,293,324.2862665,0.615733417,324.2862665,0.615733417,1,78.84411376,5,293,323.6463707,0.615733417,323.6463707,0.615733417,1,75.83333333,5,293,311.2874499,0.615733417,311.2874499,0.615733417,1,,,,,
2,78.99537037,6,376.0901203,324.2862665,0.615733417,324.2672623,0.575638279,1.102667349,78.81170635,6,376.2163671,323.6463707,0.615733417,323.5133418,0.738880101,1.013374486,75.80092593,6,376.4454646,311.2874499,0.615733417,311.154421,0.575094907,1.301980304,,,,,
3,78.99074074,6,450.4670126,324.2862665,0.615733417,324.2482582,0.48059428,1.36027764,78.77929894,6,450.0140709,323.6463707,0.615733417,323.380313,0.738880101,1.193415638,75.76851852,6,450.4426225,311.2874499,0.615733417,311.0213922,0.480620303,1.834693753,,,,,
4,78.98726852,8,573.5112665,324.2862665,0.615733417,324.2340051,0.503313261,1.327194796,78.75499339,8,573.8216296,323.6463707,0.615733417,323.2805414,0.985173468,0.996334877,75.74421296,8,573.7636595,311.2874499,0.615733417,310.9216206,0.503091859,1.951060563,,,,,
5,78.9837963,8,573.9570946,324.2862665,0.615733417,324.219752,0.502922307,1.356567049,78.73068783,8,573.4242919,323.6463707,0.615733417,323.1807698,0.985173468,1.097608025,75.71990741,8,573.4275957,311.2874499,0.615733417,310.821849,0.503386702,2.148118535,,,,,
6,78.98032407,8,573.4810604,324.2862665,0.615733417,324.205499,0.503339772,1.383758958,78.70638228,8,573.1863907,323.6463707,0.615733417,323.0809982,0.985173468,1.198881173,75.69560185,8,573.7648957,311.2874499,0.615733417,310.7220774,0.503090775,2.347699423,,,,,
7,78.97685185,8,573.5720995,324.2862665,0.615733417,324.1912459,0.50325988,1.412300154,78.68207672,8,573.4367769,323.6463707,0.615733417,322.9812265,0.985173468,1.300154321,75.6712963,8,573.3852991,311.2874499,0.615733417,310.6223057,0.503423835,2.544332335,,,,,
8,78.9728836,7,420.5382828,324.2862665,0.615733417,324.1749566,0.600596564,1.210535147,78.65429894,7,420.2909446,323.6463707,0.615733417,322.8672018,0.862026784,1.618165785,75.64351852,7,420.6418282,311.2874499,0.615733417,310.508281,0.600448721,2.323099706,,,,,
9,78.96825397,6,316.6281075,324.2862665,0.615733417,324.1559525,0.683741792,1.091124423,78.62189153,6,316.6697201,323.6463707,0.615733417,322.734173,0.738880101,2.067901235,75.61111111,6,316.0075983,311.2874499,0.615733417,310.3752522,0.68508438,2.230281579,,,,,
10,78.96269841,5,293.6426874,324.2862665,0.615733417,324.1331476,0.614385779,1.251416188,78.58300265,5,293.8915164,323.6463707,0.615733417,322.5745384,0.615733417,2.740740741,75.57222222,5,293.2356207,311.2874499,0.615733417,310.2156176,0.615238663,2.742944752,,,,,
11,78.95714286,5,376.3909838,324.2862665,0.615733417,324.1103426,0.479315125,1.651642542,78.54411376,5,376.0364264,323.6463707,0.615733417,322.4149038,0.615733417,3,75.53333333,5,376.6326627,311.2874499,0.615733417,310.055983,0.479007556,3.856307126,,,,,
12,78.95251323,6,450.3600966,324.2862665,0.615733417,324.0913385,0.480708373,1.686389115,78.51170635,6,450.7119074,323.6463707,0.615733417,322.281875,0.738880101,2.680041152,75.50092593,6,450.5036031,311.2874499,0.615733417,309.9229542,0.480555245,4.120710565,,,,,
13,78.9478836,6,573.4498175,324.2862665,0.615733417,324.0723344,0.377525396,2.197641523,78.47929894,6,573.6354553,323.6463707,0.615733417,322.1488462,0.738880101,2.860082305,75.46851852,6,573.1689002,311.2874499,0.615733417,309.7899254,0.377710426,5.594915457,,,,,
14,78.94441138,8,573.1988293,324.2862665,0.615733417,324.0580813,0.503587606,1.675812838,78.45499339,8,573.4624775,323.6463707,0.615733417,322.0490746,0.985173468,2.246334877,75.44421296,8,573.8226262,311.2874499,0.615733417,309.6901538,0.503040161,4.399309823,,,,,
